,G02Q10,G02Q10Copy,G02Q07,G02Q07Copy,G02Q08,G02Q08Copy,G02Q09,G02Q09Copy,G02Q10Time,G02Q10CopyTime,G02Q07Time,G02Q07CopyTime,G02Q08Time,G02Q08CopyTime,G02Q09Time,G02Q09CopyTime
0,"AI comments feature is useful especially when you need to correct a specific part of the text.
Summary and extend shortcut is useful for gaining (reducing) more text symbols automatically.",I didn't get the real purpose of the translate shortcut.,The feature of separating and giving an initial information for AI agent is great. The user can create multiple agents for different purposes and save a lot of time by that.,Some times the answers were too general but it was easy to fix before the approval.,,,"I found the prototype useful for personal use and collaborative work. Provided features like agents, task, and shortcuts save a lot of time and allow to focus on the topic of the essay itself.",Sometimes AI answers can be confusing and you still have to do a fact checking and not simply rely on AI agents.,,,,,,,,
1,most of the shortcuts were useful , translation did not work for our group,"was rlly useful to get the AI agents responses that were quite accurate
",-,in one task i could mention 3 to-dos and he managed them all,-,"* AI-powered assistance, the idea that users can give tasks to AI (e.g., “summarize this,” “rewrite more formally”), streamlining content creation and editing
* timesaving shortcuts which allow users to work with quick-access buttons for translation, comment summarization, and more improve efficiency
* enhanced productivity – AI reduces manual work like brainstorming, structuring, or refining text.","* over-reliance on AI: users may depend too much on AI, reducing critical thinking and writing skills, no possibility to express urself
* potential inaccuracy: AI-generated content may have errors or misinterpret intent, requiring human verification
* privacy concerns!!!datenschutz!  AI processing could raise security issues, especially for sensitive documents.
* users might need time to adapt to AI interactions and shortcuts.
* customization limits: AI may not always match individual writing styles or preferences.",,,,,,,,
2,Use of AI integrated to the app without a need to switch on ChatGPT opened in another tab,"Absent of preset features useful for essay, such as grammar check or professional tone enhancement ",I could give them the context and role so that I do not need to define it when I prompt a general AI agent in the comments,I expected more useful preset agents for my task (write essay),,"Unfortunately, interaction with tasks gave me feeling that they get the whole document as the context while I wanted to use tasks for specific parts of the document. ","Comments, comments, comments, i.e. the ability to interact with AI agent in the comments and apply the result. ",Absence of notifications when somebody mention you in the comments. Tasks and multiple AI agents I found useless and a need to learn the system well before I can quickly jump into the essay writing.,,,,,,,,
3,"I did not need to use external sources. Communication with AI was enough to get all the info, corrections, etc.","It was hard to follow comments/progress by other participants. Sound notification when someone is tagging you would be helpfull. It was a bit complecated at the beginning to figure out how ""tasks"" function.","Fast reply, ability to replace the text immidiatelly.",It would be nice to have grammar checking and grade giving functions.,"Fast, give solution in a comment section. so you can check first and change smth in text ir in task before applying to the text.",Took some time at first to understand the purpose and how to use them.,I would really need this function in my work and studying. No need to switch pages to search for info.,No sound notifications.,,,,,,,,
4,The available toolset allows running manual task without any necessity to mention an agent in comments. This option saves time and accelerates writing in general. It's also nice that I can highlight specific text for an agent and ask it to do something considering only selected text. The provided toolset was very intuitive.,It was a bit difficult to tell the difference between manual tasks in the toolset as they have the same picture (different colors and annotation). It is getting problematic when I have more than 3 manual tasks in this list.,There is a set of predefined agents that were really helpful for task of essay writing. I was pretty easy to create an agent with a specific role assignment as the application suggests skills and expertise.,The set of expertise and skills from AI suggestions were a bit short (only 3 options).,Very intuitive and easy way to create a task and start it. Autonomous task calling with notifications helps to maintain the document and delegates repeated reading (for checks) to AI agents.,The time period of running for some autonomous triggers was not clear.,"Writing with AI was a very exciting experience, because there was no need to write questions to ChatGPT and ask for something. Everything can be defined in the task. The ability to ask AI in comments was also very useful. Agents generally try to complete the task and often provide explanations for their answers.
In general, the application was easy and intuitive to use (creating tasks, agents and invoking them in comments).","To many options for autonomous task triggers. It feels like saving the document in case of changes is only one really necessary option since performing repetitive tasks can lead to spamming with comments from AI side. The ""Apply"" and ""Replace"" options for the answer of AI are usually impossible as agents sometimes provide large responses that need to be reviewed. Also, having many autonomous tasks can lead to comment spamming.",,,,,,,,
5,"It was very intuitive and time-saving, and improved my efficiency!",Not being able to add more than one comment to a specific part of the text.,"They were helpful in suggesting ideas, providing relevant answers, and improving the text during work!","The names of the agents were somewhat difficult to remember, along with their specific functions. 
The answers they generated often included extra text, making them not directly replaceable in the text, requiring manual selection and copy-pasting.",,,"Having AI agents available while writing was very helpful, time-saving, and convenient, making everything much easier. 
The toolset, including features like 'Create Comment' and the ability to mention collaborators for interaction, was really useful. 
Additionally, the prototype's design was well-executed—minimalistic, similar to Google Drive, and easy to learn and work with.","Creating agents and tasks involves manual effort, which might discourage some users who prefer relying on pre-configured agents.",,,,,,,,
6,It was fun working with someone else. It was nice asking it straight in the document without going on other web site.,"Toolset was commenting not full sentence. Comments were straight from chat gpt, so you really need to correct the sentence after. ","They were giving long comments, so text was getting longer and longer. Good when you right an essay.",They were misplacing the comments. Comments were not on the subject sometimes and not on the whole sentence. You write one task and it rephases it in different way so the point can be lost. ,It was easy to make them and give them for the specific agent.,"They were rephrased, so wasn´t sure if the agent understood me right. ","It was fun to work with someone. Like the idea of the prototype, feels like it would be a good one for students in the future.","The agents are not that smart, can´t define the sentence etc. Plus the flow is not smooth from chat gpt to the assistent.",,,,,,,,
7,"I liked the popup windows with ai commentary, they were easy to manage","When creating AI agents, the lack of initial choices for expertise and skills was confusing, sometimes it was unclear what was considered expertise and skills",,The ai wrote its own replies with the text during a replacement. It couldn't select whole sentences automatically. ,,I needed to add specific commentary so that the ai agents would only output raw text.,"Good performance, easy to use interface, clean design",Stuff mentioned in the other answers,,,,,,,,
8,"Unlike ChatGPT, this toolset allows to work with the whole document despite how long it is. Pretty useful for grammar check (even though built-in grammar check like in Google docs would be useful). Plus, the UI for the commentaries is pretty good, unlike how it is in Google Docs, where after each close commentary, the position of your text changes (it becomes to be no more in the centre of the screen or voce versa). It is extremely fun to create different AI agents and gice them all function you want: from a text reviewer to the ""praiser"", who praises you for good passages. Overall, it is an interresting idea.","The UI is a bit clumsy: it tskes too much space. The comment section is also clumsy, as when you scroll between commentaries, you are being thrown up and down. And the text window for work with the text is also small, I mean the upper and lower part - maube one could leave more space for the text. Another drawback is that the AI commentators highlight the wrong parts of the text when they comment something, usually the highlighted text is 2-3 sentences higher, that the related one. ","Usefull, inspirinmg",Highlighted the wrong sentences,,,"An interesting idea, useful tools.","Not all functions work properly (see upper), good foundation, not everything is polished.",,,,,,,,
9,It helps to check the grammar and to edit the text.,It's not intuitive to use.,It does its job.,It often doesn't understand a task.,It helps to write and improve a test.,The results are not always satisfactory.,It's one of the tools that help to write a text.,The results are not always satisfactory.,,,,,,,,
10,,,,,,,"tool was intuitive and easy to use, and often generated useful/inspiring answers",integration of AI agents into the UI could be improved; assigning a task to more than one agent at once resulted in redundant responses; copy & paste/clipboard function not very useful (but restoring history helps! :D),,,,,,,,
11,,,the possibility of having different agents,Different agents did not feel very different,easy setup,unclear when autonomous tasks would actually trigger and produce results,seamless collaboration,"Too much clutter (comments); had to almost always click on the ""more details"" button in the comments to see the full AI response",,,,,,,,
12,"Marking precisely what I want the agents to work on. Quick access, easy to use. ",Maybe customising the toolset would be nice,Having multiple agents with different perspectives is very helpful,"They still felt like one agent, not very distinctive types of answers (I would imagine a Professor writing way shorter comments than a professional language checker)","It is good to be able to specify certain tasks, such as, creating section titles or checking the text for inconsistencies.","Sometimes they did not run as expected. It is hard to tell, when autonomous tasks run.",Integration of AI agents into comments. The shortcut (AI Toolbar) was nice. Adding different AI agents for different perspectives is great.,"The document got cluttered with comments very quickly. The missing formatting in the AI agents' comments made them hard to read. ""Replacing"" added also unrelated comments of the Agent to the document. Undo function was broken.",,,,,,,,
13,"- Very useful features.
- Very intuitive and easy to use. 
- Not too many features and possibilities so it's not confusing. 
- Custom agents is a very useful feature.
- The Comments as gateway to communicate with the chat-bots is a great feature, and works very well.   ","- No Header 3.
- No separated Pages .
- Go Back or ctrl+z not really reliable.
- The ""Tasks"" window is always displayed at the beginning of the document, it should be displayed at the position the user is in.","- They provided good answers, that only needed minimal further editing, before they could be included in the document. 
- They are very easy and straightforward to use.
- You can interact with the agents  through comments.","They should ideally only provide the text the can be included in the document directly, instead they often output also the beginning of the answer of a chatbot, e.g. ""Certainly here is the text for ...."". That is not useful in this case. Because you can't use the features ""Replace"" or ""Append"" directly.
","They were good overall. The tasks i made were somewhat useful. The most useful one was the task to overview the text for correctness and quality. 
It is also a nice feature that you can select a certain agent for each task.","When you press Tasks you have to scroll all the way up to the beginning of the doc in order to see your tasks.
For text overview  they were great, but for text generation, i didn't find their performance sufficient .","Intuitive.
Easy to use.
The features are helpful, they definitely boost productivity. ","Lacking some details that it would need in order to be used in professional matter. For example: Header 3,4, ... , Automatic generation of table of content, page numbers, header, footer ... etc. 
And for text generation, only one approach was good enough, the comments with AI-Agents. ",,,,,,,,
14,"- It understood always what I ask him and helped me very much with text and ideas expanding. 
- You can ask whatever you want
- You can relate to any word and sentence
","- I needed a little bit time to understand how to use it
- sometimes he was not just expanding the text, but also adding information from itself at the beginning (for example, ""here is how you can...""","- They helped precisely on different tasks you needed from them
- You can decide yourself and also name them conveniently ",,,,"It saved so much time
It helped with the new ideas
It helped to expand the text and make it more interesting
It was new to me","Sometimes it gave to much neu information, but it was okay, because ather that I could adjust the number",,,,,,,,
15,I was able to ask the AI agent directly with selected text in comment feature. I was able to ask different AI agents for the same text. I was able to create and  customize AI agents that fit my usage.  ,I was not able to ask multiple AI agents at the same time. The AI agents were not able to remember comment history and gave different point of views. ,It is convinient to customize AI agents for personalized usage. ,"The ""Expertise"" and ""Skills"" for customizing the AI agent confused me.  The AI response were too long and can be better by showing the response in a clear structure. ",It helped when the tasks are for example check grammar ,Sometimes it was slow to response when the text was too long,"The prototype followed a familiar structure like google docs, so many features were already familiar to me and easy to get onboarding. The idea of AI agents commenting for selected text was very useful and creative.  ","It was a bit hard to follow what other ppl were doing or had done. Most interactions happened between the individual and the AI agents, rather than collaborating with other people. ",,,,,,,,
16,It is really handy. It is a go to toolset I would like to have,Nothing particularly. It can be a little smoother.,It is a very good thought. They can really be helpful. I see the potential. The idea of having each agent perform a specific task with a persona is really innovative.,They are buggy. They don't perform the task as you expect it to.,Can be helpful with some repetitive tasks,,It is really a very good idea to use AI agents for these kind of tasks. I like the features and how it is used to improve the workflow.,"There are few bugs that limits its potential. The AI agents still generate spelling errors, which is not expected. The AI agent just expresses its opinion when asked to suggest something. Automatic text replacement can be helpful after accurate identification of the described task. Similarly, suggestions are not useful if it is explaining it instead of following the command. In addition, when 'comment' button is clicked, the context must switch from writing to commenting automatically, which does't happen as of now. After adding the comment, none of the keys submits it (atleast on my MacBook),  ‘Enter’ or 'Submit' using keyboard will be beneficial.",,,,,,,,
17,It was able to augment my workflow and give me additional options with little effort,The output was verbose.,They can potentially augment my workflow if well calibrated and configured,"It takes some time to get them right, especially the skills and expertise.",Tasks allows for full document editing,Could go wrong if not configured well. ,It shows the potential of AI agents augmenting collaborative and individual writing.,The prototype requires some learning curve to use and AI agents take sometime to get right.,,,,,,,,
18,It was helpful in me being creative and become more immersed in my task.,It was hard to get used to these tools. It would need more practice to understand the tool to its full extent.,They were helpful in generating the right idea according to the topic of the article. The ability to customise them according to the results I need from them is very interesting and useful.,It was a little unnatural to use them by commenting on the document. It will take some time as a user for me to get them to be used this way.,,,It seems useful in generating and documenting creative ideas and thoughts and collaborate with teams.,It a new technology and like any other new technology it will take some time be understood to its full extend and become a part of the daily life.,,,,,,,,
19,It was helpful for collaborating with others. ,Nothing,Curated answer based on described role,"One negative aspect was that, when asked for a title suggestion, the agent only provided a single option. It would have been more helpful if it offered multiple alternatives to choose from. Additionally, when I asked the agent to correct grammar or spelling mistakes, it sometimes only explained what was wrong instead of directly correcting the text. This made the process less efficient, especially when I was expecting quick edits.",,,"The prototype is based on a great idea, and the motivation behind it is clear and well thought out. It addresses a real need and shows potential for being genuinely helpful in practice. The concept is easy to understand, which makes it accessible even to users who may not be very familiar with AI tools.","Overall, the prototype is helpful, but I believe the AI agents need improvement. I wasn’t fully satisfied with the responses I received, they lacked depth and clarity. Even the structure of the answers could be more polished and coherent. Improving the quality and reliability of the agents’ outputs would make the prototype more effective and user-friendly.",,,,,,,,
20,"Using the toolset is intuitive, and the using comments to ask AI agents allows for the prompt to be targeted towards a particular section.","Many of the features are not something I would need: I never need to translate text I have written, unless for very specific purposes where I would use a targeted translation tool for a whole body of text. The summary shortcut is not useful, since I never need to summarise my own text, and when proof reading a collaborators text, I want to proof read their actual text and not a summary. A summary might be useful if the goal is to make a paragraph more concise, but this is not consistently achieved by genAI.

A minor complaint about comments: the width of the comment box is by default quite small, but the AI answers are usually extremely verbose and long, making it difficult to read. Furthermore, genAI typically uses a lot of formatting (famously: lists, emdashes, boldfaced keywords, etc.), but these would not show up in the comments, making a lot of the genAI text unreadable until put into the document.",It was easy to communicate with an AI agent in the comments. ,"I found the agents to be faily indistinguishable. I believe this could be partially my fault by choosing the wrong keywords. The ones I used gave generic AI answers, where the main difference was a repetition of what that particular agent's instructions are (sometimes without following those instructions).","The tasks did what I expected. When scanning a full text, the task would integrate well with the comment feature and highlight text that could be changed. This worked very well.","There was no good way to ""undo"" the results of a task once integrated with the text, since the agent is a separate author, rather than myself (where I could just use ""undo""). This was very frustrating, and I often ended up having to manually remove all the agent edits and redo the task (and sometimes simply do the task myself). 

The worst aspect is the lack of accountability. I believe it is important that AI agents and their tasks are connected to a real author. In a collaborative setting, if a co-author uses a task, I would still consider this to be their edits (and their responsibility to proof read!). If something is wrong (e.g. AI hallucination), we need to be able to blame the author rather than the AI agent (especially if we collaborate on scientific text). As it is currently, the lack of accountability means I would not use this tool in scientific writing.",The prototype in general felt like using a polished modern collaborative writing tool such as Google docs. The new features were integrated seemlessly without bugs.,"First, I want to highlight that my position is slightly biased, as I never use AI for collaborative writing. In my particular field of study, using AI to write text works poorly and is generally not accepted. On a personal level, I tend to regard text produced by AI to be overly verbose and lack precision. 

For this study, we decided to use the tool for a more personal and creative use. My goal was to see if AI could help me feel more creative, and produce a usable end result in a shorter amount of time. While the AI agents were useful to get started, I got frustrated with the resulting text, as I found it fell into all the pitfalls of typical genAI (verbose, generic, without heart and often wrong). 

I am currently inclined to start over and write the text without AI for a better result. 

I also found the lack of accountability (once integrated, there was no good way to see which text was generated, and especially by which author) concerning. At times, I felt like I was babysitting AI agents rather than make actual progress. I would have prefered to use a chatbot style AI, and manually copy paste what I need while making edits, to feel more in control of the text I write (if I use AI to write my text, I am still responsible for guaranteeing that what I am inserting into the document is true, and well-written).",,,,,,,,
21,It was nice to be able to use agents from the document.,"I feel I have much more control using chatGPT or similar tools directly. I don't know what sort of prompting was done besides what I was writing or which LLM was being used, but the responses I was getting where always worse than if I asked chatGPT directly with my own prompt. It was also somewhat cumbersome to use the agents via comments, I would prefer an easily accessible chat or similar like in VScode with copilot.",I did not find any positives as I did not manage to get them to work as I would like.,"Somehow, the agents I created did not fulfill their role very well. For example, I would have liked to have an agent that provides suggestions to improve the flow of the text but all its suggestion were pretty bad.",,"We tried the feature, but there was no useful case for using tasks in our writing.",Having quicker access to an LLM while writing. I think having context windows confined to specific zones of the text for the LLM has potential.,"The quality of the LLM answers was worse than what I'm used to. This really affected the benefits of creating specific context windows to interact with the LLM through comments and roles, which I think would be the most promising feature. I'm also unsure how beneficial that is over a single chat interaction window which I use when I write.",,,,,,,,
22,"The toolset is definitely something I would use in the future for writing essays and academic work. I really liked the AI agents and being able to create my own AI agent and not being restricted to what people create for me. Also, I like that as soon as I named my agent, the system picked it up and gave suggestions of the skills and expertise. Made it much easier for me. I liked that I could also easily call it for a particular sentence or paragraph and it will review it for me. It is very useful and makes work easier and smarter.  ","When collaborating with my colleague she couldnt see some of the AI agents and call them. Not sure if this is a system error but she was unable to comment or mention them. Also, I am unsure of what the purpose of the task is. We created a task but when we tried to run it, it said updated but we didn""t see any change. Also, when you append a correction or sentence, it copies the entire response of the AI agent. I think it should give you the option to save the comment and review later. Also, the AI agent should just pick the actual part that was appended and add it to the document instead of stating what it changed. ","It was really great, I agree with everything above that it was easy to use and create the AI agents. ",It copies all your answers when appending - i dont think that is needed. ,,,"The prototype is definitely something I would use in the future for writing essays and academic work. I really liked the AI agents and being able to create my own AI agent and not being restricted to what people create for me. Also, I like that as soon as I named my agent, the system picked it up and gave suggestions of the skills and expertise. Made it much easier for me. I liked that I could also easily call it for a particular sentence or paragraph and it will review it for me. It is very useful and makes work easier and smarter.  ","When collaborating with my colleague she couldnt see some of the AI agents and call them. Not sure if this is a system error but she was unable to comment or mention them. Also, I am unsure of what the purpose of the task is. We created a task but when we tried to run it, it said updated but we didn""t see any change. Also, when you append a correction or sentence, it copies the entire response of the AI agent. I think it should give you the option to save the comment and review later. Also, the AI agent should just pick the actual part that was appended and add it to the document instead of stating what it changed. ",,,,,,,,
23,A quick access to the tools and to the agents,It did not work sometimes so I was able to use it just a couple of times.,I like that each of them have their own task or personality and you can give them a special mission,"I don't like that there is not much different between them in terms of UI, the only different is maybe the profile picture but I would like more personalization",,The tasks did not work out for me.  Me and my college created a task but we didn't notice any change in our text,It was very similar to Google Docs but with better AI features. I would like to use it on a daily basis specially because to the quick access to agents,It crashed out a couple of times so I was not able to explore all of its funtionalities,,,,,,,,
24,"Easy to expand a heading into an entire paragraph, then deleting what I dont need / summarize it, and extend it again. This iterative approach helped me build a scaffolding for parts of our document",,"Integrate / Simulate different types of reviewers and co-workers. 

I created AI agents that countered my weaknesses I have when writing (e.g. forgetting references, or not addressing different ""world views"", e.g., on AI)","The agents sometimes felt to verbose, e.g., the one checking my references. I would appreciate shorter and more localized comments instead of comments on paragraph level.
",,"Sometimes the AI comments did not show up, or only after reloading. It was not clear to me during writing, if comments did not show up, if the agent had nothing to comment, or if the (autonomous) task simply did not run","Felt very natural to use, especially if you are used to Google Docs or the like

Immediate collaboration with other authors is very helpful","I would like to use this for scientific writing, but this would require latex...",,,,,,,,
25,"Got it — here are the reformulated bullet points in plain ASCII with `*`:

* The toolset (and essentially the entire interface) was presented in a clear and organized way.
* Accessing the tools required little effort.
* The connection between text sections and comments was clearly visible, just as expected.
* The tooling overall felt very familiar and was therefore intuitive.","* The answers of the AIs are often rather long and are hardly readable by just screening the comments. 
* Accepting suggestions was sometimes a bit cumbersome when generating several suggestions at once. A parser that could extract the usable texts from the suggestions individually might be helpful.
* I would expect that when I reply to an AI’s answer in the comments, I can then receive new results. However, this does only happen if I mention @<target AI> in my answer. Otherwise, the comment will be ignored, which would still be okay (we have an ambiguity here). However, if I edit the comment so that the comment mentions the target AI, the comment is not processed by the AI.
* I could not immediately see how to deactivate the AI Agent Joker. I did not want to delete it directly. Activating such a Joker is rather discouraging, since it floods everything with comments.
","* I was able to move very quickly from initial thoughts to a fully formulated text.
* It felt good to create different agents for different specialized writing tasks.
* Creating the agents was very easy.
* I found it easy to break down my own writing task into subtasks that were suitable for individual agents (such as content generator, proofreader, etc.).
* The response times did not hinder my workflow, which was a pleasant surprise.","* The agent for improving formulations turned out to be surprisingly poor.
* The agents' CVs have been a small hurdle as they require to specify role, expertise and skills and I struggled a bit to get an idea what kind of information is expected in the corresponding fields.
* It would be nice to have a testing environment for agents without the need to start a task or mentioning them in a comment. Especially regarding your ""Likert question"" from above (""The information I entered on the AI agent profile page influenced its answer"") cannot be answered as it is hard to say what would happen without custom agents. The testing stage could provide a dummy task auto-generated based on the CV to test the effectiveness of the agent's profile.
* Still I find AI agents most useful if you already know what you want to write. So I consider them rather as an accelerator for writing than a knowledge source or ""thinking companion"". ","* It was extremely easy to create and run tasks.
* They have been real accelerators in the writing tasks. 
* I really like the idea of separating the description of the ""persona"" of the agent from its concrete tasks. I can imagine that defining a ""task library"" could really be of much value in writing tasks.","* The shortcuts for tasks were too inconspicuous. I could not associate the bullet-point list icons with their intended function.
* The autonomous task executions rather increased the effort due to too many comments that are generated with growing length of the text. So I would like to have a trigger like ""finished paragraph"" and the agent then only checks this paragraph.","* It seemed familiar enough for me to find my way around immediately, but then, at second glance, it offered completely new features that were also very easy to access.
* Although it is a prototype, this was rarely noticeable in the tool. ","* At one point, all of my comments were deleted and replaced by the comments of the already deleted Joker task.
* First we were not sure if the agents are document- oder user-specific. Maybe it is communicated somewhere but if so, we've overlooked this detail. Should be made more explicit. 
* Sometimes it seemed to have lost my authentication (?). Exceptions were thrown but no user feedback was available. So I reloaded the page to continue working.",,,,,,,,
26,it is great to have AI integrated. ,I tried the summary on a short bullet point list. the summary was not a summary but just appending the text of all bullets ,to have multiple perspectives,nothing,"it is great to have AI integrated. The responses were good. However, getting the text suggestions properly integrated in the document was difficult for me.",I ended up using another AI tool in a separate window and pasted some of the generated text back in my document.,"it's great to experiment with AI features, agents and tasks",the task were generating markdown text and I didn't figure out how to properly integrate it in the docs formatting,,,,,,,,
27,using AI capabilities without switching context appears very useful to me (when output and formats fit expectations). The interaction modes were familiar from other text editor tools.,"Extending bullet points did not give me useful results. 

After I created a comment with a task for an agent, I don’t get immediate feedback what is next. I wondered if I had to do something to start the task or if that is already happening. ","I really like the idea to create agents for different aspects of my writing tasks like research, structuring, wording, different areas of expertise etc.",In this writing task I felt that creating an agent for a task was not yet making me more efficient. My gut feeling was that it would probably accelerate my work across similar documents when I would be able to reuse agents (that stand the test of time / multiple tasks) - like a team of writing assistants. ,The idea makes sense (but I used the comment feature for LLM tasks instead).,"I was more inclined to create tasks for agents with the comments @ feature, as this is more similar to the ways of working I'm used to, and it was easier to think of specific tasks for agents anchored in the document for me. ",I really like the interface to organize agents to reuse them in writing tasks. ,"In this task the set-up did not make me more efficient yet. That is probably also because I first had to get used to the feature set and I wasn't always happy with the agents output so I did a lot of deleting and editing here. 
I also found myself using LLMs in parallel for the same writing task in other browser windows - for example because I wanted it to analyze documents like PDFs or because I needed to LLM to organize information in an excel sheet format. For those tasks the agent set-up wasn't versatile enough (yet) or I didn't know how to use it for that. 

When defining agents I wasn't sure about the difference between expertise and skill set. ",,,,,,,,
28,"Can't really comment, since I mostly used custom tasks","Should include an option for directly entering chat with an AI agent, without needing to specify a passage of text.","Allowed a different tone for different tasks.
","Should Skills and Expertise really be seperated?
","Allowed some mundane tasks (like checking spelling / grammar or form) to be performed automatically.
I also really like the option the integrate the custom tasks into the tool bar.","Automatically performed tasks often gave too many comments on the text, felt overwhelming.","The prototype was really easy to use.
I really like the idea of integrating AI authors into the cooperative writing environment.
The tasks were a great option for outsourcing mundane tasks to AI agents.","The underlying AI models often didn't seem powerful enough for the tasks at hand, therefore the feedback often times wasn't up to the expectations.
The prototype would really benefit from a direct chat feature, instead of going the extra way of defining specific tasks or needing to reference specific text passages.
Slight inaccuracies in referencing the text by the AI agents (passages are often incomplete or contain unrelated text)",,,,,,,,
29,,"Sometimes there were some technical issues (no response, take a lot of time). Response was not visible. But most of the time this problems could be fixed by a reload or trying it later again. I think for a prototype in this early stage this is okay.",,,,,The very intuitive and smooth integration of AI agents. Also that the system provides some basic AI agents as well as the collaboration functions between AI agents and among the human writers.,Some technical issues. No response from the AI agent. Comments or answers were not shown sometimes. But as mentioned in the previous comment most of the errors could be resolved by reloading or trying it again at a later point. For a prototype in this stage in my eyes this is okay.,,,,,,,,
